[2025-03-07 14:04:58,963] [INFO] Node started: localhost:30055 | index=56 | f=1, k=4
[2025-03-07 14:05:29,837] [INFO] [30055] PRE-PREPARE received: {'request_id': 1741323929740, 'data': 'llapbft_message_1741323929740', 'timestamp': 1741323929.772654, 'leader': 30149, 'cluster_id': 3, 'cluster_ports': [30002, 30005, 30008, 30010, 30017, 30021, 30024, 30031, 30034, 30035, 30040, 30048, 30054, 30055, 30056, 30058, 30076, 30081, 30084, 30090, 30091, 30101, 30103, 30107, 30120, 30123, 30124, 30135, 30136, 30137, 30144, 30149, 30152, 30156, 30158, 30163, 30164, 30166, 30173, 30174, 30175, 30178, 30183, 30186, 30188, 30191, 30193, 30195], 'cluster_manager': {'host': 'localhost', 'port': 30136, 'latitude': 36.6273945, 'longitude': 127.4590786, 'altitude': 185, 'offset_m': 'lat: 88 m, lng: 51 m, alt: 185 m'}, 'simulated_delay': 0.00014733333333333333, 'distance': 83.75433743377634, 'message_size_bits': 5304}
[2025-03-07 14:05:29,872] [INFO] [30055] Broadcasting PREPARE: REQUEST 1741323929740
[2025-03-07 14:05:30,002] [INFO] [30055] PREPARE received from 30183 for REQUEST 1741323929740
[2025-03-07 14:05:30,002] [INFO] [30055] Broadcasting COMMIT: REQUEST 1741323929740
[2025-03-07 14:05:31,372] [INFO] [30055] PREPARE received from 30186 for REQUEST 1741323929740
[2025-03-07 14:05:33,194] [INFO] [30055] PREPARE received from 30008 for REQUEST 1741323929740
[2025-03-07 14:05:33,194] [INFO] [30055] PREPARE received from 30076 for REQUEST 1741323929740
[2025-03-07 14:05:33,194] [INFO] [30055] PREPARE received from 30123 for REQUEST 1741323929740
[2025-03-07 14:05:33,194] [INFO] [30055] PREPARE received from 30156 for REQUEST 1741323929740
[2025-03-07 14:05:33,194] [INFO] [30055] PREPARE received from 30101 for REQUEST 1741323929740
[2025-03-07 14:05:33,194] [INFO] [30055] PREPARE received from 30178 for REQUEST 1741323929740
[2025-03-07 14:05:33,194] [INFO] [30055] PREPARE received from 30124 for REQUEST 1741323929740
[2025-03-07 14:05:33,194] [INFO] [30055] PREPARE received from 30024 for REQUEST 1741323929740
[2025-03-07 14:05:33,198] [INFO] [30055] PREPARE received from 30040 for REQUEST 1741323929740
[2025-03-07 14:05:33,198] [INFO] [30055] PREPARE received from 30174 for REQUEST 1741323929740
[2025-03-07 14:05:33,198] [INFO] [30055] PREPARE received from 30010 for REQUEST 1741323929740
