[2025-03-07 14:05:23,106] [INFO] Node started: localhost:30182 | index=183 | f=1, k=4
[2025-03-07 14:05:29,823] [INFO] [30182] PRE-PREPARE received: {'request_id': 1741323929740, 'data': 'llapbft_message_1741323929740', 'timestamp': 1741323929.772654, 'leader': 30022, 'cluster_id': 1, 'cluster_ports': [30003, 30019, 30020, 30022, 30026, 30028, 30030, 30032, 30033, 30045, 30050, 30062, 30064, 30067, 30068, 30069, 30071, 30077, 30080, 30086, 30097, 30099, 30117, 30119, 30125, 30128, 30134, 30140, 30141, 30146, 30148, 30153, 30155, 30159, 30160, 30167, 30179, 30180, 30182, 30190, 30192, 30194, 30197], 'cluster_manager': {'host': 'localhost', 'port': 30128, 'latitude': 36.6267082, 'longitude': 127.4594338, 'altitude': 224, 'offset_m': 'lat: 12 m, lng: 83 m, alt: 224 m'}, 'simulated_delay': 0.00020933333333333334, 'distance': 143.1110047433476, 'message_size_bits': 5024}
[2025-03-07 14:05:29,845] [INFO] [30182] Broadcasting PREPARE: REQUEST 1741323929740
[2025-03-07 14:05:30,057] [INFO] [30182] PREPARE received from 30141 for REQUEST 1741323929740
[2025-03-07 14:05:30,059] [INFO] [30182] Broadcasting COMMIT: REQUEST 1741323929740
[2025-03-07 14:05:30,070] [INFO] [30182] PREPARE received from 30159 for REQUEST 1741323929740
[2025-03-07 14:05:30,546] [INFO] [30182] PREPARE received from 30028 for REQUEST 1741323929740
[2025-03-07 14:05:31,596] [INFO] [30182] PREPARE received from 30192 for REQUEST 1741323929740
[2025-03-07 14:05:31,598] [INFO] [30182] PREPARE received from 30194 for REQUEST 1741323929740
[2025-03-07 14:05:31,803] [INFO] [30182] PREPARE received from 30134 for REQUEST 1741323929740
[2025-03-07 14:05:31,805] [INFO] [30182] COMMIT received from 30194 for REQUEST 1741323929740
[2025-03-07 14:05:32,118] [INFO] [30182] PREPARE received from 30197 for REQUEST 1741323929740
[2025-03-07 14:05:32,120] [INFO] [30182] PREPARE received from 30179 for REQUEST 1741323929740
