[2025-03-12 09:59:47,742] [INFO] Node started: localhost:30073 | index=74 | f=1, k=4
[2025-03-12 10:00:13,841] [INFO] [30073] PRE-PREPARE received: {'request_id': 1741741213760, 'data': 'llapbft_message_1741741213760', 'timestamp': 1741741213.7926333, 'leader': 30004, 'cluster_id': 1, 'cluster_ports': [30004, 30011, 30015, 30025, 30027, 30028, 30030, 30034, 30040, 30041, 30042, 30049, 30050, 30051, 30054, 30062, 30063, 30073, 30074, 30078, 30080, 30082, 30086, 30092, 30104, 30113, 30114, 30115, 30123, 30128, 30132, 30133, 30138, 30143, 30144, 30145, 30146, 30148, 30150, 30152, 30156, 30158, 30165, 30168, 30174, 30180, 30188, 30189, 30195], 'cluster_manager': {'host': 'localhost', 'port': 30133, 'latitude': 36.6274955, 'longitude': 127.4587659, 'altitude': 30, 'offset_m': 'lat: 99 m, lng: 23 m, alt: 30 m'}, 'simulated_delay': 0.000223, 'distance': 143.0027904208384, 'message_size_bits': 5352}
[2025-03-12 10:00:13,847] [INFO] [30073] Broadcasting PREPARE: REQUEST 1741741213760
[2025-03-12 10:00:14,051] [INFO] [30073] PREPARE received from 30123 for REQUEST 1741741213760
[2025-03-12 10:00:14,051] [INFO] [30073] Broadcasting COMMIT: REQUEST 1741741213760
[2025-03-12 10:00:14,051] [INFO] [30073] PREPARE received from 30146 for REQUEST 1741741213760
[2025-03-12 10:00:14,053] [INFO] [30073] PREPARE received from 30158 for REQUEST 1741741213760
[2025-03-12 10:00:14,053] [INFO] [30073] PREPARE received from 30138 for REQUEST 1741741213760
[2025-03-12 10:00:14,053] [INFO] [30073] PREPARE received from 30195 for REQUEST 1741741213760
[2025-03-12 10:00:14,053] [INFO] [30073] PREPARE received from 30086 for REQUEST 1741741213760
[2025-03-12 10:00:14,190] [INFO] [30073] PREPARE received from 30145 for REQUEST 1741741213760
[2025-03-12 10:00:14,267] [INFO] [30073] COMMIT received from 30146 for REQUEST 1741741213760
[2025-03-12 10:00:14,267] [INFO] [30073] PREPARE received from 30078 for REQUEST 1741741213760
[2025-03-12 10:00:15,381] [INFO] [30073] COMMIT received from 30145 for REQUEST 1741741213760
[2025-03-12 10:00:15,383] [INFO] [30073] COMMIT complete. Sending PRE-REPLY: REQUEST 1741741213760 directly to Manager 30133
[2025-03-12 10:00:16,389] [INFO] [30073] COMMIT received from 30086 for REQUEST 1741741213760
